d,provider,company,open,added,removed
2026-09-01,ashby,aptura,11,0,0
2026-09-01,ashby,architect,13,0,0
2026-09-01,ashby,archy,13,0,0
2026-09-01,ashby,arq,32,0,0
2026-09-01,ashby,ashby,68,1,0
2026-09-01,ashby,assembledhq,20,0,0
2026-09-01,ashby,astera,49,0,0
2026-09-01,ashby,astro-mechanica,45,0,0
2026-09-01,ashby,astronomer,21,0,2
2026-09-01,ashby,atomic-invest,1,0,0
2026-09-01,ashby,atominvest,13,0,0
2026-09-01,ashby,auctor,12,0,0
2026-09-01,ashby,augmodo,7,0,0
2026-09-01,ashby,aurelian,11,0,0
2026-09-01,ashby,aureliussystems,18,0,0
2026-09-01,ashby,avoca,26,0,0
2026-09-01,ashby,backbone,3,0,0
2026-09-01,ashby,base-power,180,2,2
2026-09-01,ashby,baseten,82,1,0
2026-09-01,ashby,basis-research,18,0,0
2026-09-01,ashby,batoncorporation,11,0,0
2026-09-01,ashby,beaconai,15,0,0
2026-09-01,ashby,beaconsoftware,46,2,5
2026-09-01,ashby,benchling,52,0,6
2026-09-01,ashby,bild-ai,3,0,0
2026-09-01,ashby,binance.us,11,0,0
2026-09-01,ashby,blackbird-labs-inc,7,0,0
2026-09-01,ashby,blissway,3,0,0
2026-09-01,ashby,blitzy,45,0,1
2026-09-01,ashby,bloxd,2,0,0
2026-09-01,ashby,brainbaselabs,4,0,0
2026-09-01,ashby,brainco,33,1,1
2026-09-01,ashby,bree,9,0,0
2026-09-01,ashby,bridger,3,0,0
2026-09-01,ashby,brinc,29,0,1
2026-09-01,ashby,broccoli,37,4,0
2026-09-01,ashby,candidate.fyi,2,0,0
2026-09-01,ashby,cantina,20,0,0
2026-09-01,ashby,capy,2,0,0
2026-09-01,ashby,cartesia,33,1,0
2026-09-01,ashby,castle,2,0,0
2026-09-01,ashby,centerfield,17,0,0
2026-09-01,ashby,cerebras,108,0,1
2026-09-01,ashby,chambercardio,7,0,0
2026-09-01,ashby,charge-robotics,15,0,0
2026-09-01,ashby,chartahealth,18,0,0
2026-09-01,ashby,checkout.com,175,1,2
2026-09-01,ashby,circleback,11,0,0
2026-09-01,ashby,civilgrid,4,1,1
2026-09-01,ashby,claimsorted,19,0,0
2026-09-01,ashby,clarium,7,0,0
2026-09-01,ashby,clasp-group,11,0,0
2026-09-01,ashby,claylabs,64,3,0
2026-09-01,ashby,clera,285,37,36
2026-09-01,ashby,clipboard,34,1,1
2026-09-01,ashby,cloudscaler,9,0,0
2026-09-01,ashby,cobot,12,1,0
2026-09-01,ashby,cogent-security,28,0,1
2026-09-01,ashby,cohere,144,0,2
2026-09-01,ashby,cohort,5,0,0
2026-09-01,ashby,collective,12,0,0
2026-09-01,ashby,colonist,7,0,0
2026-09-01,ashby,color-health,16,0,0
2026-09-01,ashby,compa,2,0,0
2026-09-01,ashby,composio,32,0,0
2026-09-01,ashby,concourse,8,0,0
2026-09-01,ashby,confido,35,0,0
2026-09-01,ashby,confluent,23,0,0
2026-09-01,ashby,constellationspace,4,0,0
2026-09-01,ashby,context,4,0,0
2026-09-01,ashby,corvus-robotics,11,0,0
2026-09-01,ashby,coverdash,2,0,0
2026-09-01,ashby,creatify,6,0,3
2026-09-01,ashby,crosby,17,0,0
2026-09-01,ashby,ctgt,3,0,0
2026-09-01,ashby,cuspai,15,0,0
2026-09-01,ashby,cylake-inc,12,0,0
2026-09-01,ashby,cyvl,6,0,0
2026-09-01,ashby,d-Matrix,41,1,0
2026-09-01,ashby,dailypay,24,0,0
2026-09-01,ashby,dedalus-labs,6,0,1
2026-09-01,ashby,deepgram,91,1,3
2026-09-01,ashby,deeter-analytics,14,0,0
2026-09-01,ashby,delinea,90,8,5
2026-09-01,ashby,deliveroo,188,0,0
2026-09-01,ashby,dexmate,39,0,0
2026-09-01,ashby,distyl,29,0,0
2026-09-01,ashby,ditto,11,0,1
2026-09-01,ashby,dittoai,4,0,0
2026-09-01,ashby,dome-systems-inc,7,0,0
2026-09-01,ashby,droyd,25,0,0
2026-09-01,ashby,dryft,5,0,0
2026-09-01,ashby,dust,23,0,0
2026-09-01,ashby,dyna-robotics,29,0,0
2026-09-01,ashby,e-source,11,0,0
2026-09-01,ashby,egra,0,0,0
2026-09-01,ashby,eigen-labs,2,0,0
2026-09-01,ashby,eightsleep,52,0,4
2026-09-01,ashby,elevenlabs,249,1,0
2026-09-01,ashby,eliza,10,0,1
2026-09-01,ashby,ellipsislabs,13,0,0
2026-09-01,ashby,eloquentai,12,0,0
2026-09-01,ashby,ema,44,1,0
2026-09-01,ashby,embedding-vc,33,0,0
2026-09-01,ashby,emerald-ai,11,0,0
2026-09-01,ashby,encord,34,0,0
2026-09-01,ashby,endeavorai,5,0,0
2026-09-01,ashby,envision-horizons,16,0,0
2026-09-01,ashby,epianeuro,17,0,0
2026-09-01,ashby,equip,62,0,3
2026-09-01,ashby,eragon,4,0,0
2026-09-01,ashby,espa,2,0,0
2026-09-01,ashby,ether.fi,10,0,0
2026-09-01,ashby,exa,53,0,1
2026-09-01,ashby,eyebot,1,0,1
2026-09-01,ashby,fab2,41,0,0
2026-09-01,ashby,faculty,73,0,0
2026-09-01,ashby,faculty-fellowship,1,0,0
2026-09-01,ashby,faros-ai,12,0,0
2026-09-01,ashby,farsight,8,0,0
2026-09-01,ashby,feathery,17,0,0
2026-09-01,ashby,firetiger,4,0,0
2026-09-01,ashby,flagright.com,26,0,0
2026-09-01,ashby,flashpoint.io,5,0,0
2026-09-01,ashby,flowengineering,21,0,0
2026-09-01,ashby,fluency,2,0,0
2026-09-01,ashby,fluidstack,263,1,2
2026-09-01,ashby,focal,2,0,0
2026-09-01,ashby,fortuna-health,4,1,0
2026-09-01,ashby,forus,49,0,0
2026-09-01,ashby,foundationhealthcareers,19,0,0
2026-09-01,ashby,foxglove,1,0,0
2026-09-01,ashby,fr,14,1,2
2026-09-01,ashby,frec,6,0,0
2026-09-01,ashby,frontier-health,4,0,0
2026-09-01,ashby,fs-studio,8,0,0
2026-09-01,ashby,fundingcircle,19,0,0
2026-09-01,ashby,fundwell,7,0,0
2026-09-01,ashby,gallatin,20,0,0
2026-09-01,ashby,gamechanger,4,0,0
2026-09-01,ashby,gearset,6,0,0
2026-09-01,ashby,gecko-robotics,20,1,0
2026-09-01,ashby,gen-digital,121,2,2
2026-09-01,ashby,generalintuition-medal,13,0,0
2026-09-01,ashby,generalist,17,1,0
2026-09-01,ashby,genmd,2,0,0
2026-09-01,ashby,georgian,3,0,0
2026-09-01,ashby,gigaml,30,0,0
2026-09-01,ashby,gimlet,9,0,0
2026-09-01,ashby,glia,26,0,0
2026-09-01,ashby,glide,10,0,0
2026-09-01,ashby,glimp-se,1,0,0
2026-09-01,ashby,golinks,5,0,0
2026-09-01,ashby,gorgias,15,0,0
2026-09-01,ashby,govwell,15,0,0
2026-09-01,ashby,gradientrobotics,9,0,0
2026-09-01,ashby,greatquestion,2,1,1
2026-09-01,ashby,greenlitecareers,8,0,0
2026-09-01,ashby,gridcare,6,0,0
2026-09-01,ashby,gritt,23,0,0
2026-09-01,ashby,h3x-technologies,12,0,0
2026-09-01,ashby,hadrian-automation,139,3,3
2026-09-01,ashby,handshake,64,3,0
2026-09-01,ashby,harperinsure,26,2,0
2026-09-01,ashby,harvey,351,5,4
2026-09-01,ashby,havocai,17,0,0
2026-09-01,ashby,hawkeyeinnovations,28,0,3
2026-09-01,ashby,haydenai,15,1,0
2026-09-01,ashby,hcompany,24,0,0
2026-09-01,ashby,healf,13,0,0
2026-09-01,ashby,heliux,12,0,0
2026-09-01,ashby,heron-power,41,1,0
2026-09-01,ashby,herondata,5,0,0
2026-09-01,ashby,higharc,17,0,0
2026-09-01,ashby,highbeam,7,0,0
2026-09-01,ashby,hiive,21,0,0
2026-09-01,ashby,hilberts,10,0,1
2026-09-01,ashby,hinge-health,68,0,2
2026-09-01,ashby,hipp,5,0,0
2026-09-01,ashby,hirehangar,106,0,0
2026-09-01,ashby,hiverge,4,0,0
2026-09-01,ashby,homebase,18,0,0
2026-09-01,ashby,hooglee,2,0,0
2026-09-01,ashby,hubs.is,9,0,0
2026-09-01,ashby,human-computer-lab,14,0,0
2026-09-01,ashby,hypercubic,2,0,0
2026-09-01,ashby,hyperexponential,23,0,0
2026-09-01,ashby,iambic-therapeutics,21,3,0
2026-09-01,ashby,ibotta,38,1,0
2026-09-01,ashby,icon,6,0,0
2026-09-01,ashby,ideogram,3,0,0
2026-09-01,ashby,illumio,69,0,1
2026-09-01,ashby,imprint,27,1,0
2026-09-01,ashby,inherent,6,0,0
2026-09-01,ashby,insitro,16,1,0
2026-09-01,ashby,interface-ai,28,0,0
2026-09-01,ashby,interplay,16,0,0
2026-09-01,ashby,ironcladhq,30,2,0
2026-09-01,ashby,iwoca.co.uk,50,0,0
2026-09-01,ashby,jerry.ai,39,26,26
2026-09-01,ashby,jigsaw,1,0,0
2026-09-01,ashby,joinpogo,8,0,1
2026-09-01,ashby,julius,4,0,0
2026-09-01,ashby,junior,19,0,0
2026-09-01,ashby,junipersquare,41,0,2
2026-09-01,ashby,k-id,10,0,0
2026-09-01,ashby,kastle,13,0,0
2026-09-01,ashby,keyrock,9,0,0
2026-09-01,ashby,kineticsystems,6,0,0
2026-09-01,ashby,kira,7,0,0
2026-09-01,ashby,kirin,39,0,0
2026-09-01,ashby,klue,10,0,0
2026-09-01,ashby,koahlabs,9,0,1
2026-09-01,ashby,kong,76,0,1
2026-09-01,ashby,kos.ai,5,0,0
2026-09-01,ashby,kustomer,8,0,0
2026-09-01,ashby,lambda,75,0,1
2026-09-01,ashby,lawdepot,3,0,1
2026-09-01,ashby,layerfi,5,0,0
2026-09-01,ashby,leavitt,58,0,0
2026-09-01,ashby,leland,188,0,0
2026-09-01,ashby,lendable,64,0,2
2026-09-01,ashby,lgads,19,0,0
2026-09-01,ashby,lightspark,2,0,0
2026-09-01,ashby,lilt-production,399,1,0
2026-09-01,ashby,limble,12,1,0
2026-09-01,ashby,linqapp,5,0,0
2026-09-01,ashby,liquid,2,0,0
2026-09-01,ashby,litellm,13,0,0
2026-09-01,ashby,liveflow,4,0,0
2026-09-01,ashby,logiqal,7,0,0
2026-09-01,ashby,logos-space,27,0,0
2026-09-01,ashby,lovable,81,3,0
2026-09-01,ashby,loveholidays,14,0,0
2026-09-01,ashby,lydian,6,0,0
2026-09-01,ashby,m13,2,0,0
2026-09-01,ashby,mach,106,0,0
2026-09-01,ashby,mach9,11,0,0
2026-09-01,ashby,maigrate,2,0,0
2026-09-01,ashby,makai-labs,7,0,0
2026-09-01,ashby,mandolin,5,0,0
2026-09-01,ashby,maple,14,0,0
2026-09-01,ashby,marianaminerals,62,1,1
2026-09-01,ashby,matterworks,4,0,0
2026-09-01,ashby,maxima,24,0,0
2026-09-01,ashby,maximor,9,0,0
2026-09-01,ashby,maya-htt,21,0,3
2026-09-01,ashby,mechanize,4,0,0
2026-09-01,ashby,medraai,15,0,0
2026-09-01,ashby,melius,8,0,0
2026-09-01,ashby,melotech,4,0,0
2026-09-01,ashby,mercor,94,3,1
2026-09-01,ashby,meridianlink,24,0,1
2026-09-01,ashby,meshy,22,0,0
2026-09-01,ashby,meticulous,8,0,0
2026-09-01,ashby,mindrobotics,28,1,0
2026-09-01,ashby,miovision,9,1,1
2026-09-01,ashby,mirage,10,3,3
2026-09-01,ashby,mistral.ai,173,1,1
2026-09-01,ashby,moab,8,0,0
2026-09-01,ashby,modal,31,0,0
2026-09-01,ashby,monarchmoney,8,1,0
2026-09-01,ashby,monogram,5,0,0
2026-09-01,ashby,moss,31,1,1
2026-09-01,ashby,motorway,15,0,0
2026-09-01,ashby,mudflap,17,0,0
2026-09-01,ashby,n1,10,0,0
2026-09-01,ashby,n8n,37,2,0
2026-09-01,ashby,nascent,1,0,0
2026-09-01,ashby,nationgraph,4,0,0
2026-09-01,ashby,navi,9,0,0
2026-09-01,ashby,nectar-social,27,0,1
2026-09-01,ashby,neocognition,4,0,0
2026-09-01,ashby,neon-health,11,0,0
2026-09-01,ashby,netic,29,0,0
2026-09-01,ashby,newlantern,3,0,0
2026-09-01,ashby,nexxen,28,0,0
2026-09-01,ashby,niural,28,0,0
2026-09-01,ashby,nooks,46,1,1
2026-09-01,ashby,normalcomputing,22,0,0
2026-09-01,ashby,northslope-technologies,10,0,0
2026-09-01,ashby,nory-co,33,0,0
2026-09-01,ashby,notion,132,1,2
2026-09-01,ashby,nova-talent,4,0,0
2026-09-01,ashby,nox-metals,12,0,0
2026-09-01,ashby,ntt-data-aivista,7,0,0
2026-09-01,ashby,numeral,19,0,0
2026-09-01,ashby,numerixs-quant,3,0,0
2026-09-01,ashby,observable-space,30,0,0
2026-09-01,ashby,obvious,2,0,0
2026-09-01,ashby,odin-dynamics,11,0,0
2026-09-01,ashby,odysseyml,22,0,0
2026-09-01,ashby,oligo,4,0,11
2026-09-01,ashby,onebrief,27,1,1
2026-09-01,ashby,openai,766,23,10
2026-09-01,ashby,opengov,55,2,1
2026-09-01,ashby,opusclip,10,0,1
2026-09-01,ashby,orb,23,0,0
2026-09-01,ashby,orbitalindustries,8,0,0
2026-09-01,ashby,orchard,25,1,0
2026-09-01,ashby,osmo,14,2,2
2026-09-01,ashby,outmarket,22,0,0
2026-09-01,ashby,outpostnow,27,0,0
2026-09-01,ashby,output,9,0,0
2026-09-01,ashby,overviewenergy,4,0,0
2026-09-01,ashby,packz,3,0,0
2026-09-01,ashby,paradigm,6,0,0
2026-09-01,ashby,parallel,22,1,0
2026-09-01,ashby,pariveda,28,0,0
2026-09-01,ashby,parspec,4,0,0
2026-09-01,ashby,patreon,8,0,0
2026-09-01,ashby,pearlhealth,1,0,0
2026-09-01,ashby,pebl,43,3,1
2026-09-01,ashby,people-culture-talent,21,0,0
2026-09-01,ashby,periodic-labs,27,0,0
2026-09-01,ashby,permitflow,38,1,1
2026-09-01,greenhouse,10alabs,17,0,0
2026-09-01,greenhouse,10beauty,14,2,0
2026-09-01,greenhouse,1800contacts,8,0,1
2026-09-01,greenhouse,2k,114,1,4
2026-09-01,greenhouse,2u,2,0,2
2026-09-01,greenhouse,3redpartners,8,0,0
2026-09-01,greenhouse,8451,21,0,0
2026-09-01,greenhouse,9thwayinsignia,13,0,0
2026-09-01,greenhouse,a3c41b8b71eff8c4,2,0,0
2026-09-01,greenhouse,abacusinsights,9,1,1
2026-09-01,greenhouse,abelsontaylor,6,1,1
2026-09-01,greenhouse,accenturefederalservices,643,13,13
2026-09-01,greenhouse,accuweather,33,0,0
2026-09-01,greenhouse,acluinternships,1,0,0
2026-09-01,greenhouse,acuitymd,10,0,0
2026-09-01,greenhouse,ada18,7,0,1
2026-09-01,greenhouse,adcouncil,3,0,0
2026-09-01,greenhouse,addepar1,122,0,1
2026-09-01,greenhouse,adswerveinc,8,0,0
2026-09-01,greenhouse,advancedspace,18,1,1
2026-09-01,greenhouse,advancedtechnologyservices,100,3,3
2026-09-01,greenhouse,aevexaerospace,59,2,0
2026-09-01,greenhouse,affirm,200,0,10
2026-09-01,greenhouse,affirmedrxpbc,11,0,0
2026-09-01,greenhouse,agoda,291,18,6
2026-09-01,greenhouse,agwestfarmcredit,12,0,2
2026-09-01,greenhouse,aircapture,3,0,0
2026-09-01,greenhouse,airtable,16,0,0
2026-09-01,greenhouse,alamarbiosciences,27,0,0
2026-09-01,greenhouse,alarmcom,83,0,2
2026-09-01,greenhouse,alku,16,0,0
2026-09-01,greenhouse,allcareers,111,6,14
2026-09-01,greenhouse,aloyoga,1103,34,18
2026-09-01,greenhouse,alpaca,68,2,4
2026-09-01,greenhouse,alphafmcroles,72,1,0
2026-09-01,greenhouse,alphasense,232,1,4
2026-09-01,greenhouse,alphataraxia,1,0,0
2026-09-01,greenhouse,altaresourcetechnologiesinc,9,0,0
2026-09-01,greenhouse,altentechnologyusa,187,2,12
2026-09-01,greenhouse,amarok,15,0,0
2026-09-01,greenhouse,americaninstitutesforresearch,14,0,1
2026-09-01,greenhouse,amplitude,37,0,0
2026-09-01,greenhouse,ampsortation,16,0,1
2026-09-01,greenhouse,anaplan,146,0,0
2026-09-01,greenhouse,andurilindustries,2189,82,72
2026-09-01,greenhouse,anthropic,569,5,7
2026-09-01,greenhouse,antora,36,3,0
2026-09-01,greenhouse,aperaaiinc,8,0,0
2026-09-01,greenhouse,aperiatechnologies,3,0,0
2026-09-01,greenhouse,apexcompanies,179,5,10
2026-09-01,greenhouse,appian,164,1,5
2026-09-01,greenhouse,applovin,35,2,0
2026-09-01,greenhouse,apptronik,86,6,1
2026-09-01,greenhouse,aquaticcapitalmanagement,8,0,0
2026-09-01,greenhouse,arcanaanalytics,26,0,0
2026-09-01,greenhouse,arcboatcompany,34,1,1
2026-09-01,greenhouse,arcesiumllc,35,0,0
2026-09-01,greenhouse,archer56,162,5,4
2026-09-01,greenhouse,arenaclub,10,0,1
2026-09-01,greenhouse,arevonenergyimpltest,9,1,0
2026-09-01,greenhouse,argmax,3,0,0
2026-09-01,greenhouse,arizeai,28,0,0
2026-09-01,greenhouse,armada,62,1,0
2026-09-01,greenhouse,artefactlinkedin,106,1,0
2026-09-01,greenhouse,arvinas,2,0,0
2026-09-01,greenhouse,ashfieldadvisory,25,0,1
2026-09-01,greenhouse,assetliving,42,2,1
2026-09-01,greenhouse,assuredguaranty,4,0,0
2026-09-01,greenhouse,assystinc,13,0,1
2026-09-01,greenhouse,asteraearlycareer2026,5,0,0
2026-09-01,greenhouse,asteralabs,159,3,6
2026-09-01,greenhouse,astranis,86,0,5
2026-09-01,greenhouse,atek,30,0,0
2026-09-01,greenhouse,athinkingape,1,0,0
2026-09-01,greenhouse,atlassand,32,2,1
2026-09-01,greenhouse,atomicmachines,27,0,0
2026-09-01,greenhouse,attentionarc,5,0,0
2026-09-01,greenhouse,attentive,36,0,0
2026-09-01,greenhouse,auctane,24,1,0
2026-09-01,greenhouse,audaxgroup,16,0,0
2026-09-01,greenhouse,authenticbrandsgroup,33,0,0
2026-09-01,greenhouse,avepoint,303,6,3
2026-09-01,greenhouse,avidxchangeinc,20,2,1
2026-09-01,greenhouse,avride,66,0,0
2026-09-01,greenhouse,awetomaton,10,2,0
2026-09-01,greenhouse,axios,29,0,0
2026-09-01,greenhouse,axle,48,0,2
2026-09-01,greenhouse,axon,510,39,30
2026-09-01,greenhouse,axontalentcommunity,8,0,0
2026-09-01,greenhouse,axq,25,0,0
2026-09-01,greenhouse,axs,35,2,0
2026-09-01,greenhouse,axsometherapeutics,118,1,0
2026-09-01,greenhouse,axuall,2,0,0
2026-09-01,greenhouse,aypapower,13,0,0
2026-09-01,greenhouse,babelstreet,15,0,1
2026-09-01,greenhouse,bamboohr17,33,0,0
2026-09-01,greenhouse,bandwidth,29,0,1
2026-09-01,greenhouse,betterhelpcom,16,1,1
2026-09-01,greenhouse,bevicareers,29,0,1
2026-09-01,greenhouse,bgeinc,72,4,3
2026-09-01,greenhouse,billiontoone,80,0,2
2026-09-01,greenhouse,birdygrey,2,0,0
2026-09-01,greenhouse,blackedgecapital,6,0,0
2026-09-01,greenhouse,blacksky,23,0,0
2026-09-01,greenhouse,blockchain,46,0,0
2026-09-01,greenhouse,bloomreach,65,2,2
2026-09-01,greenhouse,bluelabsanalyticsinc,10,0,0
2026-09-01,greenhouse,blueskyinnovators,55,0,0
2026-09-01,greenhouse,bluestaq,11,0,0
2026-09-01,greenhouse,botauto,20,0,0
2026-09-01,greenhouse,bottomlinetechnologies,28,1,4
2026-09-01,greenhouse,boxinc,144,4,2
2026-09-01,greenhouse,bpcs,35,0,2
2026-09-01,greenhouse,bracebridgecapital,3,0,0
2026-09-01,greenhouse,breezecash,17,0,0
2026-09-01,greenhouse,brevium,3,0,0
2026-09-01,greenhouse,brightai,5,0,0
2026-09-01,greenhouse,bti36021,13,0,0
2026-09-01,greenhouse,bugcrowd,16,0,2
2026-09-01,greenhouse,butternutbox,41,0,0
2026-09-01,greenhouse,buyersedgeplatformrecruiting,37,0,0
2026-09-01,greenhouse,cadwell,16,1,0
2026-09-01,greenhouse,calyxo,18,0,0
2026-09-01,greenhouse,canonical,302,0,1
2026-09-01,greenhouse,capco,755,15,8
2026-09-01,greenhouse,capitalontap,34,0,0
2026-09-01,greenhouse,captivation,76,1,0
2026-09-01,greenhouse,carbonchain,3,0,0
2026-09-01,greenhouse,carefeed,7,0,0
2026-09-01,greenhouse,carta,60,1,0
2026-09-01,greenhouse,cartesiansystems,6,1,0
2026-09-01,greenhouse,caseguard,11,0,0
2026-09-01,greenhouse,catapultsports,32,1,0
2026-09-01,greenhouse,celigo,22,0,0
2026-09-01,greenhouse,cellsignalingtechnology79,9,1,0
2026-09-01,greenhouse,celonis,280,6,3
2026-09-01,greenhouse,censys,31,11,0
2026-09-01,greenhouse,centriaautism,1195,6,5
2026-09-01,greenhouse,chanzuckerberginitiative,11,1,0
2026-09-01,greenhouse,charlesriverassociates,78,1,0
2026-09-01,greenhouse,checkr,45,5,6
2026-09-01,greenhouse,chicagotrading,24,1,0
2026-09-01,greenhouse,chicagotradingcampus,8,0,0
2026-09-01,greenhouse,chime,65,2,0
2026-09-01,greenhouse,chowbus,77,2,0
2026-09-01,greenhouse,civisanalytics,3,0,0
2026-09-01,greenhouse,clarityinnovates,48,1,2
2026-09-01,greenhouse,clear,33,0,0
2026-09-01,greenhouse,clearwayjobs,70,2,8
2026-09-01,greenhouse,clinicalarchitecture,8,0,0
2026-09-01,greenhouse,clockworksystems,9,0,0
2026-09-01,greenhouse,cloudflare,309,7,6
2026-09-01,greenhouse,cmt,2,0,0
2026-09-01,greenhouse,cobaltio,11,0,0
2026-09-01,greenhouse,cognitiv,5,0,0
2026-09-01,greenhouse,coherehealth,77,1,2
2026-09-01,greenhouse,colabsoftware,26,0,0
2026-09-01,greenhouse,commerceiq,14,0,0
2026-09-01,greenhouse,commvault,71,4,2
2026-09-01,greenhouse,compeerfinancial,48,8,0
2026-09-01,greenhouse,comstock,71,7,2
2026-09-01,greenhouse,concentric,11,0,0
2026-09-01,greenhouse,connectder,2,0,0
2026-09-01,greenhouse,connerstrongbuckelew,14,0,0
2026-09-01,greenhouse,constantcontact,10,0,1
2026-09-01,greenhouse,constructionresources,68,1,2
2026-09-01,greenhouse,consumerreports,10,0,0
2026-09-01,greenhouse,convene,40,0,1
2026-09-01,greenhouse,cooksys,13,0,0
2026-09-01,greenhouse,correlationone,28,0,0
2026-09-01,greenhouse,cortland,113,2,8
2026-09-01,greenhouse,cottinghambutlerinsuranceservicesinc,100,1,0
2026-09-01,greenhouse,coursera,22,2,0
2026-09-01,greenhouse,cpisecurity,54,2,0
2026-09-01,greenhouse,creatorsworkhere,18,1,0
2026-09-01,greenhouse,creditunionofcolorado,13,0,0
2026-09-01,greenhouse,cresta,94,0,1
2026-09-01,greenhouse,cribl,63,1,0
2026-09-01,greenhouse,criticalmass,22,0,0
2026-09-01,greenhouse,crunchyroll,65,1,2
2026-09-01,greenhouse,css,25,2,0
2026-09-01,greenhouse,cssmerge,260,15,4
2026-09-01,greenhouse,ctccampusboard,6,0,0
2026-09-01,greenhouse,customcomputerspecialists,21,0,0
2026-09-01,greenhouse,darkwolfsolutions,60,5,0
2026-09-01,greenhouse,datasystemsanalystsinc,25,0,1
2026-09-01,greenhouse,dbeconorthamerica,7,0,0
2026-09-01,greenhouse,ddome,17,0,0
2026-09-01,greenhouse,debtbook,15,0,0
2026-09-01,greenhouse,deepmind,9,0,0
2026-09-01,greenhouse,defenseunicorns,53,0,3
2026-09-01,greenhouse,detroitlions,7,0,0
2026-09-01,greenhouse,devrev,46,2,0
2026-09-01,greenhouse,dhpace,411,5,2
2026-09-01,greenhouse,dialpad,82,2,4
2026-09-01,greenhouse,didi,9,5,4
2026-09-01,greenhouse,diligentcorporation,113,0,0
2026-09-01,greenhouse,diligentrobotics,14,0,0
2026-09-01,greenhouse,dlhcorporation,20,0,1
2026-09-01,greenhouse,docugami,7,0,0
2026-09-01,greenhouse,doordashusa,472,11,7
2026-09-01,greenhouse,dorsia,15,0,0
2026-09-01,greenhouse,doublegood,5,0,0
2026-09-01,greenhouse,doubleverify,32,0,1
2026-09-01,greenhouse,doximity,10,1,1
2026-09-01,greenhouse,drivewealth,17,0,1
2026-09-01,greenhouse,drweng,156,0,0
2026-09-01,greenhouse,drwuniversityjobs,1,0,0
2026-09-01,greenhouse,duettoresearch,17,0,1
2026-09-01,greenhouse,dunnhumby,59,1,4
2026-09-01,greenhouse,dv01,3,0,0
2026-09-01,greenhouse,dvtrading,62,0,0
2026-09-01,greenhouse,earnin,30,2,2
2026-09-01,greenhouse,echodynecorp,33,0,2
2026-09-01,greenhouse,edgewoodpartnersinsurancecenter,111,0,2
2026-09-01,greenhouse,edmentum,31,1,0
2026-09-01,greenhouse,efficientcomputer,18,0,2
2026-09-01,greenhouse,eikontherapeutics,24,0,0
